id,zh_CN,en,ja
room201_diary_05,"我突然感觉无法呼吸，随后就晕了过去了。\n醒来时，自己就躺在了始作医生的诊室里，\n始作医生告诉我马上就能好起来，\n是真的吗？","",
room201_diary_06,"晓翼说他给礼诗出一个谜题，\n一上午就在浴室里忙碌着，\n但傍晚回来后突然很失落，\n不知道发生了什么？","",
room201_diary_07,"晓翼的床空了，医生也不在了，大家都不在了。\n我在空荡荡的走廊里数着步子，\n数着数着忘记数……","",
room203_gift_01,"有一个包装盒放在书上，上面写着的内容是","",
room203_gift_02,"“魔法之灯——紫外线灯”","",
room203_gift_03,"啊，原来这个手电筒是紫外线灯呀","",
room203_gift_04,"话说回来，总感觉有点熟悉……","",
room203_gift_05,"盒子里好像还有什么东西！？","",
event_phantom_01,"来……快……快过来","",
event_phantom_02,"…………礼诗","",
event_phantom_03,"啊，又出现了！","",
event_phantom_04,"为什么知道我的名字？","",
event_phantom_05,"……","……",
event_phantom_06,"消失了","",
event_phantom_07,"这个电池是？","",
event_phantom_08,"唔……头好疼","",
